Project Name,Stars,Forks,Commits,isFork,Branch,Contributors,Size,Comment Lines,LOC,Blank Lines,Java,,,Incalculable due to TIME LIMIT,Tutorial repository,Noting Refactoring
finmath/finmath-lib,475,166,4649,FALSE,master,20,231166,49332,99690,25890,11171148,,,,,
asciidoctor/asciidoctorj,624,173,1804,FALSE,main,59,4831,3193,19217,5566,972927,,,,,
graphhopper/jsprit,1606,604,2159,FALSE,master,20,10715,11938,33246,9007,2304403,,,,,
clulab/processors,418,101,4590,FALSE,master,24,1829366,292,55623,275,3551101,,,,,
quantumbadger/redreader,1929,480,2373,FALSE,master,138,10302,6797,45314,12746,1818387,,,,,
openzipkin/brave,2322,713,1954,FALSE,master,112,31008,12376,54655,12142,2652545,,,,,
code4craft/webmagic,11361,4178,1295,FALSE,develop,57,17379,4045,12190,2608,781254,,,,,
jitsi/jitsi,4055,960,13240,FALSE,master,61,579335,190280,282360,61020,17610149,,,,,
jitsi/libjitsi,622,279,2492,FALSE,master,43,93768,76406,112697,21560,7242840,,,,,
windup/windup,210,130,3385,FALSE,master,44,246014,17240,95582,20201,5474139,,,,,
arx-deidentifier/arx,618,213,4290,FALSE,master,27,392748,56724,88210,20982,6485353,,,,,
lindenb/jvarkit,479,133,3293,FALSE,master,10,62549,64569,264684,50555,12220993,,,,,
opensourcebim/bimserver,1534,608,4991,FALSE,master,24,630431,970350,417173,138122,51973002,,,,,
googlemaps/android-maps-utils,3544,1531,1197,FALSE,main,82,16014,7525,14402,2955,801942,,,,,
jboss-javassist/javassist,4065,693,1031,FALSE,master,38,30569,21540,84439,9834,3087600,,,,,
javalite/javalite,853,214,2825,FALSE,master,57,25198,19952,44825,14149,2653555,,,,,
openhft/chronicle-queue,3258,528,7737,FALSE,ea,63,29638,8713,36848,7533,2019106,,,,,
sksamuel/scrimage,1057,139,1313,FALSE,master,45,620664,9083,24238,6208,441224,,,,,
apache/deltaspike,148,137,2671,FALSE,master,63,10604,42548,79125,17337,4907067,,,,,
mgarin/weblaf,1129,234,1652,FALSE,master,18,126083,132835,216617,37868,12659058,,,,,
mycelium-com/wallet-android,659,320,10282,FALSE,master,38,71430,45504,130698,16851,3536997,,,,,
ff4j/ff4j,1379,276,1437,FALSE,main,82,11000,35693,46920,11801,2737404,,,,,
stanfordnlp/corenlp,9582,2702,17258,FALSE,main,105,381559,135731,619799,71244,31093985,,,,,
spring-projects/spring-ldap,342,481,1433,FALSE,main,38,27146,22091,43492,12868,2590001,,,,,
immutables/immutables,3415,272,2641,FALSE,master,67,12805,23441,69993,18438,3692146,,,,,
bumptech/glide,34589,6119,2956,FALSE,master,131,96804,14298,81967,14069,3336369,,,,,
molgenis/systemsgenetics,166,101,4252,FALSE,master,27,342739,38261,171635,43115,9106257,,,,,
hazelcast/hazelcast-code-samples,546,594,1495,FALSE,master,80,96404,10641,35959,9140,1924505,,,,,
wmixvideo/nfe,642,376,2682,FALSE,master,80,21850,17810,157338,33381,9639198,,,,,
jchambers/pushy,1780,448,1607,FALSE,main,42,8922,5911,9047,2807,747802,,,,,
bobbylight/rsyntaxtextarea,1090,255,1021,FALSE,master,39,15276,36466,168587,26413,3077268,,,,,
komoot/photon,1867,279,1280,FALSE,master,51,10829,760,9119,2310,441352,,,,,
apiman/apiman,823,350,5005,FALSE,master,58,123557,51906,97737,20976,6011533,,,,,
jcabi/jcabi-aspects,526,150,1021,FALSE,master,28,6139,4446,4185,653,322628,,,,,
jdereg/java-util,413,103,1063,FALSE,master,11,7226,5420,35115,5474,1759820,,,,,
cjlin1/libsvm,4538,1633,1108,FALSE,master,32,9765,166,3770,479,104899,,,,,
indeedeng/proctor,461,123,2421,FALSE,master,52,38065,4550,46755,6740,2416991,,,,,
siom79/japicmp,698,107,1220,FALSE,master,32,10180,672,28448,4380,1370826,,,,,
adoptopenjdk/jitwatch,3050,435,1062,FALSE,master,30,5383,2269,70175,16078,2170263,,,,,
fxmisc/richtextfx,1196,237,1422,FALSE,master,49,3546,4592,15415,3941,916699,,,,,
adobe-consulting-services/acs-aem-commons,453,597,4687,FALSE,master,179,28016,38483,108682,26862,6936359,,,,,
cinchapi/concourse,314,235,5605,FALSE,develop,24,53428,83766,927724,121482,16277521,,,,,
itext/itextpdf,1579,456,4441,FALSE,develop,35,119441,119078,151531,29724,11556291,,,,,
gitlab4j/gitlab4j-api,1048,449,2227,FALSE,main,172,3853,21444,43082,12197,2864248,,,,,
syncthing/syncthing-android,3258,372,2459,FALSE,main,92,23268,1386,9010,1504,458104,,,,,
ehcache/ehcache3,1989,577,4928,FALSE,master,50,21453,44160,133546,29458,7896590,,,,,
erudika/para,523,146,1878,FALSE,master,14,5927,11658,29992,4738,1518139,,,,,
apache/struts-examples,428,555,1494,FALSE,master,21,4044,2617,6006,2292,417704,,,,,
fabric8io/docker-maven-plugin,1864,640,2326,FALSE,master,202,21956,6262,35372,8109,1847572,,,,,
gluufederation/oxauth,420,150,5730,FALSE,master,51,32194,19505,130911,31802,8028751,,,,,
kotcrab/vis-ui,707,129,2702,FALSE,master,27,21926,6426,19308,4614,935468,,,,,
xipki/xipki,500,126,7111,FALSE,master,7,118523,12498,94393,24883,4170563,,,,,
googleapis/java-bigtable-hbase,173,178,3697,FALSE,main,92,20694,18900,68736,11769,3915502,,,,,
siddhi-io/siddhi,1491,517,6116,FALSE,master,95,35130,26988,154130,30330,8788917,,,,,
swagger-api/swagger-parser,769,523,2821,FALSE,master,139,8628,688,29338,5527,1492980,,,,,
wso2/charon,120,162,1105,FALSE,master,81,2924,8013,27249,5593,1851776,,,,,
jetbrains/xodus,1180,109,3200,FALSE,master,32,36498,17572,66366,13211,2924503,,,,,
waikato/moa,603,352,1322,FALSE,master,55,32195,45429,114314,25794,6467301,,,,,
teammates/teammates,1644,3268,18767,FALSE,master,368,268878,17470,132733,33303,7630122,,,,,
jmetal/jmetal,503,402,4649,FALSE,main,43,257552,17613,88966,20758,4325626,,,,,
lettuce-io/lettuce-core,5226,931,2383,FALSE,main,103,20507,69833,92420,35999,6720813,,,,,
bither/bither-android,429,169,1962,FALSE,master,12,9076,14802,73168,10519,2997888,,,,,
leibnitz27/cfr,1944,248,1925,FALSE,master,15,5346,8106,66880,11710,3598637,,,,,
asciidocfx/asciidocfx,1865,296,1993,FALSE,master,25,1357402,1420,21977,5593,966097,,,,,
ctt-gob-es/clienteafirma,249,120,6855,FALSE,master,17,584160,55395,154637,33327,9974367,,,,,
google/guice,12453,1662,2120,FALSE,master,77,124891,20124,73158,13660,3649969,,,,,
docker-java/docker-java,2870,1049,2145,FALSE,main,210,5796,8935,39255,11711,1801816,,,,,
apache/parquet-mr,2434,1363,2625,FALSE,master,205,14833,33661,124010,21444,6463468,,,,,
google/exoplayer,21660,6004,18875,FALSE,release-v2,247,484242,104568,329127,45414,18260429,,,,,
opengamma/strata,837,283,4752,FALSE,main,58,43997,216438,498848,78521,30671263,,,,,
