Refactoring Type,Total,Mean,Median,Variance,Standard Deviation,Min,Max,Percentage,Total,Mean,Median,Variance,Standard Deviation,Min,Max,parcentage,Production[%] / Test[%],Test[%] / Production[%] ,(Production[%] + Test[%])/2
INLINE_ATTRIBUTE,1549,7.073059361,2,1139.957941,33.76326318,1,492,0.000281597452,265,3.397435897,2,31.6971362,5.630020977,1,34,0.000224989451,1.251602912,0.7989754502,0.0002532934515
EXTRACT_SUPERCLASS,8788,22.19191919,10,1572.985859,39.66088575,1,441,0.001597597423,1554,6.368852459,3,214.9580382,14.66144734,1,198,0.001319372101,1.210877069,0.8258476649,0.001458484762
PULL_UP_ATTRIBUTE,26044,68.7176781,30,22788.51003,150.9586368,1,2149,0.004734618489,4653,25.42622951,9,2500.630517,50.00630477,1,365,0.003950475152,1.198493423,0.8343808823,0.004342546821
EXTRACT_CLASS,15097,35.77488152,16,5374.640413,73.31193909,1,768,0.002744529847,2768,10.8976378,3,782.5586505,27.97424978,1,309,0.002350078492,1.167846034,0.856277258,0.002547304169
ADD_METHOD_MODIFIER,47908,112.990566,41.5,113340.6902,336.661091,1,5485,0.008709341982,8817,31.71582734,6,33806.55794,183.8655975,1,2711,0.007485781091,1.163451332,0.8595116723,0.008097561537
SPLIT_CLASS,777,3.484304933,2,36.75538319,6.062621808,1,48,0.0001412532086,144,1.694117647,1,2.119607843,1.455887304,1,10,0.0001222584186,1.155365906,0.8655266653,0.0001317558136
EXTRACT_OPERATION,146656,330.3063063,144.5,877557.0256,936.7801373,1,16917,0.0266610432,28227,83.51183432,21,96479.43754,310.6113931,1,5055,0.0239651971,1.112490045,0.8988844481,0.02531312015
RENAME_PACKAGE,4085,11.34722222,5,442.0323042,21.02456431,1,202,0.0007426246555,793,3.965,2,27.82288945,5.2747407,1,42,0.0006732703193,1.10301113,0.9066091656,0.0007079474874
MOVE_RENAME_CLASS,21556,52.06763285,17,17904.92035,133.8092686,1,1576,0.00391873123,4198,14.6271777,5,1811.29758,42.55934187,1,580,0.00356417251,1.099478552,0.9095220624,0.00374145187
ADD_CLASS_MODIFIER,17100,42.53731343,14.5,9831.481148,99.15382568,1,1012,0.003108661349,3444,14.35,3,2673.709623,51.70792612,1,642,0.002924013846,1.063148642,0.9406022457,0.003016337597
EXTRACT_ATTRIBUTE,11657,28.78271605,12,3282.111087,57.28971187,1,666,0.002119161716,2366,10.65765766,4,671.9275203,25.92156477,1,269,0.00200877374,1.054952917,0.9479096024,0.002063967728
MOVE_OPERATION,110884,252.5831435,116,292959.8236,541.2576314,1,6463,0.02015794181,24309,72.5641791,19,43910.36039,209.5479907,1,2970,0.0206387493,0.9767036521,1.023852013,0.02039834555
MODIFY_VARIABLE_ANNOTATION,107,4.115384615,1,28.82615385,5.368999334,1,20,0.00001945185756,25,2.777777778,1,18.19444444,4.265494631,1,14,0.0000212254199,0.9164415899,1.091177017,0.00002033863873
MOVE_PACKAGE,3742,10.87790698,5,383.5069157,19.5833326,1,187,0.0006802696355,900,4.245283019,2,44.06277385,6.637979651,1,73,0.0007641151165,0.8902711395,1.123253305,0.000722192376
REPLACE_ATTRIBUTE,424,3.475409836,1,94.25145644,9.70831893,1,104,0.000077080258,103,2.395348837,2,4.197120709,2.048687558,1,10,0.00008744873,0.8814337041,1.134515274,0.000082264494
SPLIT_VARIABLE,381,3,1,27.20634921,5.215970591,1,41,0.00006926315636,93,5.166666667,1,99.91176471,9.995587262,1,41,0.00007895856204,0.8772089382,1.139979264,0.0000741108592
EXTRACT_AND_MOVE_OPERATION,39938,93.53161593,38,34468.4186,185.6567225,1,1874,0.007260451283,9999,36.09747292,9,9567.791189,97.81508672,1,1109,0.008489318944,0.8552454362,1.169254997,0.007874885114
MOVE_CLASS,220160,495.8558559,166.5,919029.0582,958.6600326,1,11126,0.04002356038,57738,149.1937984,34,115825.7888,340.3318803,1,3122,0.04902053177,0.8164652429,1.22479188,0.04452204608
RENAME_METHOD,229658,514.9282511,187,1458812.678,1207.81318,1,14403,0.04175023088,62433,163.0104439,41,236887.1674,486.7105582,1,5054,0.05300666563,0.7876411463,1.269613713,0.04737844825
RENAME_VARIABLE,171523,382.8638393,154,1011262.521,1005.615493,1,15610,0.03118169126,47964,126.5540897,30,148970.4805,385.9669423,1,5249,0.04072224161,0.765716474,1.305966417,0.03595196643
MERGE_CLASS,1013,4.36637931,2,35.50587774,5.958680873,1,40,0.0001841563711,287,2.81372549,2,13.28178994,3.644419013,1,22,0.0002436678205,0.7557681222,1.323157157,0.0002139120958
REMOVE_VARIABLE_MODIFIER,25407,67.39257294,11,61304.72846,247.5979169,1,3774,0.004618816309,7381,38.64397906,6,19152.67258,138.3931811,1,1292,0.006266592972,0.7370538233,1.356753019,0.005442704641
ADD_METHOD_ANNOTATION,301451,685.1159091,199.5,5141196.212,2267.420608,1,38226,0.05480170013,87611,237.4281843,45,544304.3814,737.7698702,1,9429,0.07438321052,0.7367482493,1.357315747,0.06459245533
ADD_VARIABLE_MODIFIER,116992,307.8736842,20,1692429.615,1300.934132,1,13874,0.02126833383,34876,159.2511416,8,321329.455,566.8592903,1,5247,0.02961030978,0.7182746141,1.392225175,0.02543932181
MOVE_AND_INLINE_OPERATION,17799,48.36684783,11,24180.70702,155.5014695,1,1667,0.003235734698,5479,28.0974359,4,17951.06778,133.9815949,1,1525,0.004651763026,0.6955931935,1.437621888,0.003943748862
REMOVE_METHOD_ANNOTATION,114358,262.2889908,62.5,3009342.762,1734.745734,1,35073,0.02078949091,35772,103.0893372,27,76749.23188,277.0365172,1,3065,0.03037102883,0.6845171767,1.460883721,0.02558025987
PARAMETERIZE_ATTRIBUTE,4361,12.49570201,5,1191.325413,34.51558217,1,496,0.0007927995404,1378,10.6,3,710.675969,26.6585065,1,254,0.001169945145,0.6776382156,1.475713702,0.0009813723427
RENAME_CLASS,43308,98.42727273,42.5,35194.87853,187.6029811,1,1918,0.0078730939,13858,38.07142857,13,11269.53758,106.1580783,1,1660,0.01176567476,0.6691578732,1.494415653,0.00981938433
