列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r,,列 1,N,mean,change,std_dev,min,25%_q1,median,75%_q3,max,statistic,p_value,effect_size_r
Dorn DFT Spaces,1513244,112.47%,12.47%,1.124135602,3.833865815%,94.41747573%,100.0%,106.557377%,4400%,461881005488,0.0000,0.05078729979,,Dorn DFT Spaces,357739,105.9%,5.9%,0.582907466,5.743740795%,92.388767%,98.6%,103.1034483%,981.25%,22498318020,0.0000,-0.1915318237
Dorn DFT Periods,1513244,112.39%,12.39%,1.120102669,3.833865815%,94.66019417%,100.0%,106.4182195%,4394.444444%,462400765287,0.0000,0.05231306192,,Dorn DFT Periods,357739,106.0%,6.0%,0.5863314853,5.743740795%,92.409147%,98.5%,102.9850746%,981.25%,22498927105,0.0000,-0.1919411053
Dorn DFT Parenthesis,1513244,112.44%,12.44%,1.119614945,3.833865815%,94.66019417%,100.0%,106.3559322%,4400%,460503585582,0.0000,0.05097781966,,Dorn DFT Parenthesis,357739,105.9%,5.9%,0.5834230236,5.743740795%,92.366979%,98.4%,102.9850746%,981.25%,22332175137,0.0000,-0.1961679017
Dorn DFT Operators,1513244,245.73%,145.73%,19.42766968,0.253164557%,94.56015347%,100.0%,105.7274945%,85500%,384637757610,0.0000,0.05534165557,,Dorn DFT Operators,357739,213.5%,113.5%,10.98859623,0.176366843%,91.443850%,99.6%,103.4364261%,32800%,21249697117,0.0000,-0.1817664134
Dorn DFT Numbers,1513244,354.18%,254.18%,27.89521163,0.253164557%,95.60732113%,100.0%,105.1741294%,85500%,367423423415,0.0000,0.04623016819,,Dorn DFT Numbers,357739,188.3%,88.3%,10.48681989,0.1340482574%,90.849415%,98.5%,103.5087719%,32900%,21147034502,0.0000,-0.1948284422
Dorn DFT Loops,1513244,367.86%,267.86%,26.83169823,0.1507159005%,97.59147144%,100.0%,102.7222459%,85500%,267168921118,0.0000,0.03584615452,,Dorn DFT Loops,357739,343.1%,243.1%,24.01227529,0.147275405%,94.718615%,100.0%,100.4625347%,67500%,14318876627,0.0000,-0.1600365466
Dorn DFT LineLengths,1513244,113.37%,13.37%,1.251260649,2.121212121%,94.77745325%,100.1%,106.9400631%,9981.818182%,456089866313,0.0000,0.1017078575,,Dorn DFT LineLengths,357739,105.1%,5.1%,0.5045230607,4.479283315%,94.777453%,98.8%,103.3333333%,995.8646617%,24803455707,0.0000,-0.1363290413
Dorn DFT Keywords,1513244,112.63%,12.63%,1.136275472,3.833865815%,94.38202247%,100.0%,106.5671642%,4400%,455857866501,0.0000,0.0642577214,,Dorn DFT Keywords,357739,106.1%,6.1%,0.5947815204,5.59646539%,92.280053%,98.6%,103.3707865%,1000%,22602758519,0.0000,-0.1940330604
Dorn DFT Indentations,1513244,113.19%,13.19%,1.47426844,1.960784314%,94.44444444%,100.0%,106.4814815%,15800%,461884024786,0.0000,0.04858373413,,Dorn DFT Indentations,357739,106.7%,6.7%,0.7436068459,5.743740795%,92.361798%,98.4%,102.9850746%,3000%,22512721629,0.0000,-0.1900191703
Dorn DFT Identifiers,1513244,112.82%,12.82%,1.144299045,3.194888179%,94.41747573%,100.0%,106.4356436%,4658.823529%,467613955705,0.0000,0.0474957414,,Dorn DFT Identifiers,357739,106.2%,6.2%,0.6144278204,5.743740795%,92.344325%,98.3%,103.0821918%,986.3874346%,22123938658,0.0000,-0.2093419713
Dorn DFT Conditionals,1513244,315.13%,215.13%,25.08881123,0.2624671916%,93.1372549%,100.0%,105.8150183%,94400%,363141488475,0.0000,0.01856232361,,Dorn DFT Conditionals,357739,530.7%,430.7%,38.49718122,0.1340482574%,92.429917%,100.0%,100.4508566%,69900%,14656388559,0.0000,-0.1885609581
Dorn DFT Comparisons,1513244,246.44%,146.44%,17.34060049,0.3134796238%,95.16129032%,100.0%,106.3291139%,85500%,413069241811,0.0000,0.08819208449,,Dorn DFT Comparisons,357739,219.4%,119.4%,10.75702626,0.1340482574%,87.640816%,99.7%,102.5280899%,38200%,19663931443,0.0000,-0.1854498066
Dorn DFT Comments,1513244,116.56%,16.56%,1.892403286,0.7194244604%,94.73900091%,100.1%,106.7542973%,12583.33333%,442939262799,0.0000,0.1128772884,,Dorn DFT Comments,357739,105.1%,5.1%,0.511649712,2.739726027%,94.643585%,99.1%,103.2366071%,937.1024735%,23805116129,0.0000,-0.1500585145
Dorn DFT Commas,1513307,186.62%,86.62%,13.61008687,0.3194888179%,94.11764706%,100.0%,106.25%,79200%,439436241977,0.0000,0.04207506868,,Dorn DFT Commas,357739,161.5%,61.5%,5.600087732,0.5747126437%,89.214253%,98.2%,104.1894353%,13500%,22539243447,0.0000,-0.1860407243
